section,scenario_id,window_days,threshold_name,treatment_column,outcome_column,availability_column,stratum,subgroup_variable,subgroup_level,placebo_outcome,adjustment_columns,n,treated_count,control_count,outcome_event_count,scenario_status,estimator,preferred,estimator_status,estimate,treated_mean,control_mean,matched_pairs,matched_retention,effective_sample_size,common_support_outside_share,max_abs_smd_after_weighting,poor_overlap,skip_reason,notes
window_threshold,pooled_14d_median,14,median,treatment_high_engagement_14d_median,outcome_success,treatment_available_14d,,,,,baseline_gender|baseline_region|baseline_age_band|baseline_highest_education|baseline_imd_band|baseline_disability|baseline_num_of_prev_attempts|baseline_studied_credits|baseline_date_registration|baseline_missing_date_registration|baseline_registered_before_start|baseline_module_presentation|baseline_module_presentation_length|early_assessment_count_14d|early_assessment_weight_14d|early_assessment_cma_count_14d|early_assessment_tma_count_14d|early_assessment_exam_count_14d,28128,14134,13994,15385,success,stabilized_iptw,False,success,0.2339845183910781,0.6623090522124384,0.4283245338213603,,,26694.299162314917,0.0004977246871444823,0.02233963239830077,True,,stabilized IPTW Hajek-style weighted mean contrast; no default truncation
window_threshold,pooled_14d_median,14,median,treatment_high_engagement_14d_median,outcome_success,treatment_available_14d,,,,,baseline_gender|baseline_region|baseline_age_band|baseline_highest_education|baseline_imd_band|baseline_disability|baseline_num_of_prev_attempts|baseline_studied_credits|baseline_date_registration|baseline_missing_date_registration|baseline_registered_before_start|baseline_module_presentation|baseline_module_presentation_length|early_assessment_count_14d|early_assessment_weight_14d|early_assessment_cma_count_14d|early_assessment_tma_count_14d|early_assessment_exam_count_14d,28128,14134,13994,15385,success,aipw,True,success,0.23525951382197552,0.6640474048176388,0.42878789099566333,,,26694.299162314917,0.0004977246871444823,0.02233963239830077,True,,doubly robust AIPW estimator using propensity and separate outcome nuisance models
window_threshold,pooled_14d_top_tertile,14,top_tertile,treatment_high_engagement_14d_top_tertile,outcome_success,treatment_available_14d,,,,,baseline_gender|baseline_region|baseline_age_band|baseline_highest_education|baseline_imd_band|baseline_disability|baseline_num_of_prev_attempts|baseline_studied_credits|baseline_date_registration|baseline_missing_date_registration|baseline_registered_before_start|baseline_module_presentation|baseline_module_presentation_length|early_assessment_count_14d|early_assessment_weight_14d|early_assessment_cma_count_14d|early_assessment_tma_count_14d|early_assessment_exam_count_14d,28128,9429,18699,15385,success,regression_adjustment,False,success,0.2177387763321002,0.6920518350899287,0.47431305875782853,,,26650.322772645926,0.0006399317406143345,0.04595598416110121,True,,mean predicted potential outcome under separate logistic outcome regressions
window_threshold,pooled_14d_top_tertile,14,top_tertile,treatment_high_engagement_14d_top_tertile,outcome_success,treatment_available_14d,,,,,baseline_gender|baseline_region|baseline_age_band|baseline_highest_education|baseline_imd_band|baseline_disability|baseline_num_of_prev_attempts|baseline_studied_credits|baseline_date_registration|baseline_missing_date_registration|baseline_registered_before_start|baseline_module_presentation|baseline_module_presentation_length|early_assessment_count_14d|early_assessment_weight_14d|early_assessment_cma_count_14d|early_assessment_tma_count_14d|early_assessment_exam_count_14d,28128,9429,18699,15385,success,stabilized_iptw,False,success,0.21580398291671554,0.6899416805687199,0.4741376976520043,,,26650.322772645926,0.0006399317406143345,0.04595598416110121,True,,stabilized IPTW Hajek-style weighted mean contrast; no default truncation
window_threshold,pooled_14d_top_tertile,14,top_tertile,treatment_high_engagement_14d_top_tertile,outcome_success,treatment_available_14d,,,,,baseline_gender|baseline_region|baseline_age_band|baseline_highest_education|baseline_imd_band|baseline_disability|baseline_num_of_prev_attempts|baseline_studied_credits|baseline_date_registration|baseline_missing_date_registration|baseline_registered_before_start|baseline_module_presentation|baseline_module_presentation_length|early_assessment_count_14d|early_assessment_weight_14d|early_assessment_cma_count_14d|early_assessment_tma_count_14d|early_assessment_exam_count_14d,28128,9429,18699,15385,success,aipw,True,success,0.2187156821888541,0.693153938347672,0.4744382561588179,,,26650.322772645926,0.0006399317406143345,0.04595598416110121,True,,doubly robust AIPW estimator using propensity and separate outcome nuisance models
window_threshold,pooled_14d_top_quartile,14,top_quartile,treatment_high_engagement_14d_top_quartile,outcome_success,treatment_available_14d,,,,,baseline_gender|baseline_region|baseline_age_band|baseline_highest_education|baseline_imd_band|baseline_disability|baseline_num_of_prev_attempts|baseline_studied_credits|baseline_date_registration|baseline_missing_date_registration|baseline_registered_before_start|baseline_module_presentation|baseline_module_presentation_length|early_assessment_count_14d|early_assessment_weight_14d|early_assessment_cma_count_14d|early_assessment_tma_count_14d|early_assessment_exam_count_14d,28128,7080,21048,15385,success,regression_adjustment,False,success,0.21569028405866036,0.7088738434001807,0.4931835593415203,,,26670.253639147813,0.0005688282138794084,0.06600777045110469,True,,mean predicted potential outcome under separate logistic outcome regressions
window_threshold,pooled_14d_top_quartile,14,top_quartile,treatment_high_engagement_14d_top_quartile,outcome_success,treatment_available_14d,,,,,baseline_gender|baseline_region|baseline_age_band|baseline_highest_education|baseline_imd_band|baseline_disability|baseline_num_of_prev_attempts|baseline_studied_credits|baseline_date_registration|baseline_missing_date_registration|baseline_registered_before_start|baseline_module_presentation|baseline_module_presentation_length|early_assessment_count_14d|early_assessment_weight_14d|early_assessment_cma_count_14d|early_assessment_tma_count_14d|early_assessment_exam_count_14d,28128,7080,21048,15385,success,stabilized_iptw,False,success,0.2139107670049083,0.7068891168500538,0.49297834984514555,,,26670.253639147813,0.0005688282138794084,0.06600777045110469,True,,stabilized IPTW Hajek-style weighted mean contrast; no default truncation
window_threshold,pooled_14d_top_quartile,14,top_quartile,treatment_high_engagement_14d_top_quartile,outcome_success,treatment_available_14d,,,,,baseline_gender|baseline_region|baseline_age_band|baseline_highest_education|baseline_imd_band|baseline_disability|baseline_num_of_prev_attempts|baseline_studied_credits|baseline_date_registration|baseline_missing_date_registration|baseline_registered_before_start|baseline_module_presentation|baseline_module_presentation_length|early_assessment_count_14d|early_assessment_weight_14d|early_assessment_cma_count_14d|early_assessment_tma_count_14d|early_assessment_exam_count_14d,28128,7080,21048,15385,success,aipw,True,success,0.21802204966628275,0.7111686842119478,0.4931466345456651,,,26670.253639147813,0.0005688282138794084,0.06600777045110469,True,,doubly robust AIPW estimator using propensity and separate outcome nuisance models
window_threshold,pooled_21d_median,21,median,treatment_high_engagement_21d_median,outcome_success,treatment_available_21d,,,,,baseline_gender|baseline_region|baseline_age_band|baseline_highest_education|baseline_imd_band|baseline_disability|baseline_num_of_prev_attempts|baseline_studied_credits|baseline_date_registration|baseline_missing_date_registration|baseline_registered_before_start|baseline_module_presentation|baseline_module_presentation_length|early_assessment_count_21d|early_assessment_weight_21d|early_assessment_cma_count_21d|early_assessment_tma_count_21d|early_assessment_exam_count_21d,27913,14018,13895,15385,success,regression_adjustment,False,success,0.2359589362377732,0.6678307850743543,0.43187184883658114,,,26519.20130912942,0.0006448608175402143,0.022424244204195688,True,,mean predicted potential outcome under separate logistic outcome regressions
window_threshold,pooled_21d_median,21,median,treatment_high_engagement_21d_median,outcome_success,treatment_available_21d,,,,,baseline_gender|baseline_region|baseline_age_band|baseline_highest_education|baseline_imd_band|baseline_disability|baseline_num_of_prev_attempts|baseline_studied_credits|baseline_date_registration|baseline_missing_date_registration|baseline_registered_before_start|baseline_module_presentation|baseline_module_presentation_length|early_assessment_count_21d|early_assessment_weight_21d|early_assessment_cma_count_21d|early_assessment_tma_count_21d|early_assessment_exam_count_21d,27913,14018,13895,15385,success,stabilized_iptw,False,success,0.2350555107206475,0.6666927371524773,0.43163722643182983,,,26519.20130912942,0.0006448608175402143,0.022424244204195688,True,,stabilized IPTW Hajek-style weighted mean contrast; no default truncation
window_threshold,pooled_21d_median,21,median,treatment_high_engagement_21d_median,outcome_success,treatment_available_21d,,,,,baseline_gender|baseline_region|baseline_age_band|baseline_highest_education|baseline_imd_band|baseline_disability|baseline_num_of_prev_attempts|baseline_studied_credits|baseline_date_registration|baseline_missing_date_registration|baseline_registered_before_start|baseline_module_presentation|baseline_module_presentation_length|early_assessment_count_21d|early_assessment_weight_21d|early_assessment_cma_count_21d|early_assessment_tma_count_21d|early_assessment_exam_count_21d,27913,14018,13895,15385,success,aipw,True,success,0.2363568233352322,0.6683514377961588,0.4319946144609265,,,26519.20130912942,0.0006448608175402143,0.022424244204195688,True,,doubly robust AIPW estimator using propensity and separate outcome nuisance models
window_threshold,pooled_21d_top_tertile,21,top_tertile,treatment_high_engagement_21d_top_tertile,outcome_success,treatment_available_21d,,,,,baseline_gender|baseline_region|baseline_age_band|baseline_highest_education|baseline_imd_band|baseline_disability|baseline_num_of_prev_attempts|baseline_studied_credits|baseline_date_registration|baseline_missing_date_registration|baseline_registered_before_start|baseline_module_presentation|baseline_module_presentation_length|early_assessment_count_21d|early_assessment_weight_21d|early_assessment_cma_count_21d|early_assessment_tma_count_21d|early_assessment_exam_count_21d,27913,9335,18578,15385,success,regression_adjustment,False,success,0.22432093321093566,0.7007678423875068,0.4764469091765711,,,26554.3741207291,0.0004657328126679325,0.038591968030638746,True,,mean predicted potential outcome under separate logistic outcome regressions
window_threshold,pooled_21d_top_tertile,21,top_tertile,treatment_high_engagement_21d_top_tertile,outcome_success,treatment_available_21d,,,,,baseline_gender|baseline_region|baseline_age_band|baseline_highest_education|baseline_imd_band|baseline_disability|baseline_num_of_prev_attempts|baseline_studied_credits|baseline_date_registration|baseline_missing_date_registration|baseline_registered_before_start|baseline_module_presentation|baseline_module_presentation_length|early_assessment_count_21d|early_assessment_weight_21d|early_assessment_cma_count_21d|early_assessment_tma_count_21d|early_assessment_exam_count_21d,27913,9335,18578,15385,success,stabilized_iptw,False,success,0.2224808005304877,0.6988665654210255,0.47638576489053786,,,26554.3741207291,0.0004657328126679325,0.038591968030638746,True,,stabilized IPTW Hajek-style weighted mean contrast; no default truncation
window_threshold,pooled_21d_top_tertile,21,top_tertile,treatment_high_engagement_21d_top_tertile,outcome_success,treatment_available_21d,,,,,baseline_gender|baseline_region|baseline_age_band|baseline_highest_education|baseline_imd_band|baseline_disability|baseline_num_of_prev_attempts|baseline_studied_credits|baseline_date_registration|baseline_missing_date_registration|baseline_registered_before_start|baseline_module_presentation|baseline_module_presentation_length|early_assessment_count_21d|early_assessment_weight_21d|early_assessment_cma_count_21d|early_assessment_tma_count_21d|early_assessment_exam_count_21d,27913,9335,18578,15385,success,aipw,True,success,0.22488780595144323,0.7014447341184898,0.47655692816704665,,,26554.3741207291,0.0004657328126679325,0.038591968030638746,True,,doubly robust AIPW estimator using propensity and separate outcome nuisance models
window_threshold,pooled_21d_top_quartile,21,top_quartile,treatment_high_engagement_21d_top_quartile,outcome_success,treatment_available_21d,,,,,baseline_gender|baseline_region|baseline_age_band|baseline_highest_education|baseline_imd_band|baseline_disability|baseline_num_of_prev_attempts|baseline_studied_credits|baseline_date_registration|baseline_missing_date_registration|baseline_registered_before_start|baseline_module_presentation|baseline_module_presentation_length|early_assessment_count_21d|early_assessment_weight_21d|early_assessment_cma_count_21d|early_assessment_tma_count_21d|early_assessment_exam_count_21d,27913,7014,20899,15385,success,regression_adjustment,False,success,0.21758766375139166,0.7147652485388234,0.49717758478743174,,,26522.317423009456,0.0005373840146168452,0.0575391117027429,True,,mean predicted potential outcome under separate logistic outcome regressions
