estimator,preferred,estimand,status,estimate,treated_mean,control_mean,std_error,ci_lower,ci_upper,uncertainty_method,n,matched_pairs,matched_retention,notes
regression_adjustment,False,ATE risk difference,success,0.23492551589723043,0.66354847994388,0.42862296404664957,0.00039210589425797265,0.2341569883444848,0.23569404344997605,empirical predicted-contrast score,28128.0,,,mean predicted potential outcome under separate logistic outcome regressions
stabilized_iptw,False,ATE risk difference,success,0.2339845183910781,0.6623090522124384,0.4283245338213603,0.008905415879227021,0.21652990326779306,0.251439133514363,empirical stabilized-IPTW contrast score,28128.0,,,stabilized IPTW Hajek-style weighted mean contrast; no default truncation
aipw,True,ATE risk difference,success,0.23525951382197552,0.6640474048176388,0.42878789099566333,0.00572026710228159,0.2240477903015036,0.24647123734244744,empirical AIPW score,28128.0,,,doubly robust AIPW estimator using propensity and separate outcome nuisance models
nearest_neighbor_matching,False,ATT-style matched risk difference for treated records retained by the matching gate,skipped,,,,,,,,,0.0,0.0,poor overlap diagnostics; matching estimate not reported
